Date,NSE_NO_OF_TRADE,BSE_No_of_Trades
2025-02-21,36628856.0,7710508.0
2025-02-24,38956130.0,11951763.0
2025-02-25,33742145.0,39720720.0
2025-02-26,,
2025-02-27,70623401.0,2036562.0
2025-02-28,33082776.0,10736036.0
2025-03-03,35869977.0,20827941.0
2025-03-04,28387865.0,48060053.0
2025-03-05,48541868.0,4376018.0
2025-03-06,87297600.0,6107211.0
2025-03-07,34929195.0,12603088.0
2025-03-10,40032512.0,18097888.0
2025-03-11,38392911.0,50177533.0
2025-03-12,57403182.0,5124638.0
2025-03-13,79024176.0,5280172.0
2025-03-14,,
2025-03-17,33039634.0,17562382.0
2025-03-18,36924299.0,55407015.0
2025-03-19,47654398.0,3550825.0
2025-03-20,83393313.0,4898789.0
2025-03-21,47491249.0,13878814.0
2025-03-24,51979032.0,19425128.0
2025-03-25,52505477.0,71949494.0
2025-03-26,68508449.0,5323018.0
2025-03-27,104328293.0,4133636.0
2025-03-28,35843419.0,17495279.0
2025-03-31,,
2025-04-02,45589927.0,4368819.0
2025-04-03,62030285.0,4200595.0
2025-04-04,40020285.0,12589012.0
2025-04-07,52210207.0,23340324.0
2025-04-08,54695454.0,84592725.0
2025-04-09,69966832.0,4012047.0
2025-04-10,,
2025-04-11,36103888.0,14869592.0
2025-04-15,29003359.0,38651450.0
2025-04-16,50277659.0,4250119.0
2025-04-17,107222831.0,7484534.0
2025-04-21,46697597.0,20055604.0
2025-04-22,42832773.0,49902042.0
2025-04-23,73005091.0,3954239.0
2025-04-24,89899801.0,3142087.0
2025-04-25,46129601.0,16448838.0
2025-04-28,38878841.0,19955649.0
2025-04-29,36957005.0,57327442.0
2025-04-30,66616026.0,3450243.0
2025-05-02,45191874.0,18179518.0
2025-05-05,35007314.0,19582423.0
2025-05-06,29980739.0,43484310.0
2025-05-07,52612958.0,4142627.0
2025-05-08,74298281.0,4476730.0
2025-05-09,35137413.0,12441589.0
2025-05-12,44445770.0,23173392.0
2025-05-13,46495531.0,80027637.0
2025-05-14,58881207.0,5324609.0
2025-05-15,120838348.0,8451653.0
2025-05-16,30763056.0,10369012.0
2025-05-19,30999646.0,16108643.0
2025-05-20,38007157.0,61053146.0
2025-05-21,61343375.0,5898146.0
2025-05-22,98898071.0,5602193.0
2025-05-23,37196971.0,12472462.0
2025-05-26,35867070.0,19942373.0
2025-05-27,46558623.0,79225678.0
2025-05-28,48821724.0,3117081.0
2025-05-29,109943458.0,4738311.0
2025-05-30,24258932.0,9896458.0
2025-06-02,30195324.0,22377487.0
2025-06-03,35379566.0,66257696.0
2025-06-04,31426645.0,2988391.0
2025-06-05,90295796.0,5886284.0
2025-06-06,35829285.0,13904627.0
2025-06-09,22397511.0,12153353.0
2025-06-10,24441914.0,48651042.0
2025-06-11,41011845.0,3914152.0
2025-06-12,92894387.0,6362950.0
2025-06-13,31292160.0,11900816.0
2025-06-16,33593920.0,19214545.0
2025-06-17,28452295.0,53251352.0
2025-06-18,44021001.0,4191304.0
2025-06-19,72047975.0,4301238.0
2025-06-20,37627974.0,12950861.0
2025-06-23,39605897.0,19154090.0
2025-06-24,55705517.0,84961535.0
2025-06-25,49758857.0,3955655.0
2025-06-26,125215354.0,7537057.0
2025-06-27,24910878.0,9886448.0
2025-06-30,28633293.0,16434137.0
2025-07-01,23095561.0,48283552.0
2025-07-02,40682464.0,4598674.0
2025-07-03,93533357.0,7078379.0
2025-07-04,27456397.0,12003717.0
2025-07-07,22563710.0,13793032.0
2025-07-08,22176965.0,50844218.0
2025-07-09,36141984.0,4280418.0
2025-07-10,74569908.0,5421141.0
2025-07-11,27801015.0,12215039.0
2025-07-14,29702923.0,19042224.0
2025-07-15,30120478.0,63260112.0
2025-07-16,40542631.0,5085148.0
2025-07-17,65274282.0,5174599.0
2025-07-18,28240555.0,12479680.0
2025-07-21,34474162.0,22563873.0
2025-07-22,29864955.0,62547490.0
2025-07-23,41728727.0,5246220.0
2025-07-24,81491598.0,6815713.0
2025-07-25,37302152.0,15890985.0
2025-07-28,43132344.0,26930496.0
2025-07-29,38894600.0,71769859.0
2025-07-30,52880875.0,5794947.0
2025-07-31,138985368.0,9111060.0
2025-08-01,35551340.0,20437708.0
2025-08-04,31000256.0,25332655.0
2025-08-05,28012415.0,66598117.0
2025-08-06,44559377.0,6451288.0
2025-08-07,96570318.0,9136485.0
2025-08-08,33573186.0,19783295.0
2025-08-11,33843023.0,26611061.0
2025-08-12,40654661.0,86063431.0
2025-08-13,49138589.0,7270156.0
2025-08-14,74917196.0,6557872.0
2025-08-18,34973581.0,23518218.0
2025-08-19,30615209.0,68736142.0
2025-08-20,42752295.0,5207260.0
2025-08-21,78847157.0,5867625.0
2025-08-22,33438333.0,13688224.0
2025-08-25,34407730.0,20152384.0
2025-08-26,42301188.0,69353641.0
2025-08-27,,
2025-08-28,121014077.0,5442819.0
2025-08-29,41877462.0,10621231.0
2025-09-01,42011471.0,7622581.0
2025-09-02,103837367.0,11196293.0
2025-09-03,30938823.0,31699046.0
2025-09-04,36031594.0,95275738.0
2025-09-05,52818419.0,10816329.0
2025-09-08,54284025.0,9396912.0
2025-09-09,78729548.0,8520284.0
2025-09-10,28130104.0,24919199.0
2025-09-11,22486522.0,54691616.0
2025-09-12,29945147.0,5036486.0
2025-09-15,34654121.0,5921534.0
2025-09-16,69217272.0,7478493.0
2025-09-18,30102701.0,60226494.0
2025-09-19,44964675.0,7010809.0
2025-09-22,51153715.0,8985338.0
2025-09-23,99404483.0,11393882.0
2025-09-24,34366877.0,29233394.0
2025-09-25,34960555.0,68740813.0
2025-09-26,55321945.0,8143379.0
2025-09-29,72544386.0,10800943.0
2025-09-30,109721238.0,11111112.0
2025-10-01,31287163.0,73811494.0
2025-10-03,41105043.0,8371427.0
2025-10-06,51020101.0,9731842.0
2025-10-07,96983239.0,12596252.0
2025-10-08,37481648.0,38483543.0
2025-10-09,33515745.0,81861174.0
2025-10-10,42907623.0,8519229.0
2025-10-13,51744222.0,10219141.0
2025-10-14,106643769.0,13590864.0
2025-10-15,32786628.0,28141029.0
2025-10-16,35210244.0,73857460.0
2025-10-17,68774372.0,13450156.0
2025-10-20,102216478.0,12685501.0
2025-10-21,7251889.0,4949991.0
2025-10-22,,
2025-10-23,43099349.0,87000664.0
2025-10-24,64010394.0,9897777.0
2025-10-27,,8967557.0
2025-10-28,138068381.0,11546055.0
2025-10-29,30210682.0,27619666.0
2025-10-30,30291149.0,74447320.0
2025-10-31,46304333.0,9136458.0
2025-11-03,50983032.0,10361309.0
2025-11-05,,
2025-11-06,30444427.0,77416598.0
2025-11-07,50669139.0,9814542.0
2025-11-10,47352095.0,8278290.0
2025-11-11,100552843.0,11047965.0
2025-11-12,28852826.0,26354459.0
2025-11-13,33126497.0,88727509.0
2025-11-14,59562493.0,10351339.0
2025-11-17,48896139.0,8021058.0
2025-11-18,87580196.0,9744587.0
2025-11-19,33120691.0,25734606.0
2025-11-20,31799436.0,67385410.0
2025-11-21,51537026.0,7391016.0
2025-11-24,60594155.0,8051320.0
2025-11-25,113483028.0,10355109.0
2025-11-26,27765222.0,26311526.0
2025-11-27,30501277.0,86469657.0
2025-11-28,35879172.0,7808225.0
2025-12-01,52236885.0,10174236.0
