fetch_time,metric_type,epoch_timestamp,timestamp_readable,value
25/02/2026 18:36:00,equity_adto,1772024761550,25/02/2026 18:36:01,603943621464557
25/02/2026 18:36:00,equity_adto,1772024762550,25/02/2026 18:36:02,603943621464557
25/02/2026 18:36:00,equity_adto,1772024763550,25/02/2026 18:36:03,603943621464557
25/02/2026 18:36:00,equity_adto,1772024764550,25/02/2026 18:36:04,603943621464557
25/02/2026 18:36:00,equity_adto,1772024765550,25/02/2026 18:36:05,603943621464557
25/02/2026 18:36:00,equity_adto,1772024766550,25/02/2026 18:36:06,603943621464557
25/02/2026 18:36:00,equity_adto,1772024767550,25/02/2026 18:36:07,603943621464557
25/02/2026 18:36:00,equity_adto,1772024768550,25/02/2026 18:36:08,603943621464557
25/02/2026 18:36:00,equity_adto,1772024769550,25/02/2026 18:36:09,603943621464557
25/02/2026 18:36:00,stocks_adto,1772024760550,25/02/2026 18:36:00,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024761550,25/02/2026 18:36:01,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024762550,25/02/2026 18:36:02,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024763550,25/02/2026 18:36:03,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024764550,25/02/2026 18:36:04,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024765550,25/02/2026 18:36:05,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024766550,25/02/2026 18:36:06,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024767550,25/02/2026 18:36:07,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024768550,25/02/2026 18:36:08,541337461617253
25/02/2026 18:36:00,stocks_adto,1772024769550,25/02/2026 18:36:09,541337461617253
25/02/2026 18:36:00,stocks_assets,1772024760550,25/02/2026 18:36:00,132783846791488
25/02/2026 18:36:00,stocks_assets,1772024761550,25/02/2026 18:36:01,132783850234328
25/02/2026 18:36:00,stocks_assets,1772024762550,25/02/2026 18:36:02,132783853677168
25/02/2026 18:36:00,stocks_assets,1772024763550,25/02/2026 18:36:03,132783857120008
25/02/2026 18:36:00,stocks_assets,1772024764550,25/02/2026 18:36:04,132783860562848
25/02/2026 18:36:00,stocks_assets,1772024765550,25/02/2026 18:36:05,132783864005688
25/02/2026 18:36:00,stocks_assets,1772024766550,25/02/2026 18:36:06,132783867448528
25/02/2026 18:36:00,stocks_assets,1772024767550,25/02/2026 18:36:07,132783870891368
25/02/2026 18:36:00,stocks_assets,1772024768550,25/02/2026 18:36:08,132783874334208
25/02/2026 18:36:00,stocks_assets,1772024769550,25/02/2026 18:36:09,132783877777048
